N, time, valid, compute_units, MFLOPs,
100,143.922,1,16,3692.899, 
200,159.137,1,16,3933.523, 
300,200.570,1,16,3722.598, 
400,229.673,1,16,5711.114, 
500,255.434,1,16,8337.241, 
600,381.742,1,16,7328.742, 
700,375.168,1,16,11630.892, 
800,541.081,1,16,10208.637, 
900,762.788,1,16,9408.249, 
1000,797.462,1,16,12162.290, 
1100,1452.569,1,16,8144.450, 
1200,1910.904,1,16,7826.909, 
1300,2344.018,1,16,8005.608, 
1400,2886.117,1,16,8020.385, 
1500,2839.042,1,16,10042.998, 
1600,3329.331,1,16,10293.958, 
1700,2908.091,1,16,14223.254, 
1800,4984.877,1,16,9650.824, 
1900,3994.517,1,16,14259.994, 
2000,5677.928,1,16,11585.092, 
2100,7586.661,1,16,9971.446, 
2200,8102.329,0,16,0.000, 
2300,6865.894,1,16,14536.821, 
2400,7884.244,0,16,0.000, 
2500,8536.478,0,16,0.000, 
