N, time, valid, cores, MFLOPs,
100,0.459,1,2,17412.783, 
200,7.785,1,2,8221.355, 
300,14.367,1,2,15034.096, 
400,27.574,1,2,18568.496, 
500,54.750,1,2,18264.931, 
600,495.573,1,2,3486.872, 
700,925.444,1,2,2965.063, 
800,1565.364,1,2,2616.644, 
900,2537.125,1,2,2298.665, 
1000,3875.293,1,2,2064.360, 
1100,5316.313,1,2,2002.892, 
1200,6916.250,1,2,1998.771, 
1300,8867.287,1,2,1982.117, 
1400,11166.181,1,2,1965.936, 
1500,13630.999,1,2,1980.779, 
1600,16992.054,1,2,1928.431, 
1700,20642.777,1,2,1904.007, 
1800,24508.562,1,2,1903.661, 
1900,29059.254,1,2,1888.280, 
2000,34755.357,1,2,1841.443, 
2100,40628.018,1,2,1823.569, 
2200,47947.036,1,2,1776.627, 
2300,54628.115,1,2,1781.793, 
2400,62592.885,1,2,1766.846, 
2500,70784.781,1,2,1765.916, 
