N, time, valid, compute_units, MFLOPs,
100,1.382,1,1,5787.242, 
200,8.603,1,1,7439.389, 
300,24.700,1,1,8744.965, 
400,60.179,1,1,8507.918, 
500,116.833,1,1,8559.210, 
600,236.119,1,1,7318.335, 
700,418.018,1,1,6564.309, 
800,2670.571,1,1,1533.754, 
900,4850.163,1,1,1202.434, 
1000,7823.871,1,1,1022.512, 
1100,9961.491,1,1,1068.916, 
1200,14134.667,1,1,978.021, 
1300,16801.957,1,1,1046.068, 
1400,20960.830,1,1,1047.287, 
1500,25849.044,1,1,1044.526, 
1600,34566.554,1,1,947.968, 
1700,38139.068,1,1,1030.544, 
1800,45647.302,1,1,1022.098, 
1900,52998.167,1,1,1035.357, 
2000,64801.540,1,1,987.631, 
2100,78774.908,1,1,940.503, 
2200,87041.196,1,1,978.663, 
2300,104487.267,1,1,931.558, 
2400,120738.627,1,1,915.962, 
2500,138792.076,1,1,900.628, 
